date,usa,canada,uk,western_europe,eastern_europe,japan,china,asia,australia,latin_america,middle_east,russia,africa
1960-06-19,45.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-06-20,0.0,0.0,0.0,472.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-06-21,59.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-06-22,0.0,0.0,0.0,0.0,0.0,788.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-06-23,0.0,0.0,0.0,423.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-06-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-06-25,144.85,0.0,0.0,0.0,0.0,0.0,1409.83,1302.8,0.0,0.0,0.0,0.0,0.0
1960-06-26,67.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-06-27,75.54,0.0,0.0,482.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-06-28,135.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-06-29,128.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,846.15,0.0,0.0,0.0
1960-06-30,37.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-07-01,61.09,0.0,1289.38,389.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-07-02,99.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-07-03,34.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-07-04,49.3,0.0,0.0,472.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-07-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-07-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-07-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-07-08,0.0,0.0,0.0,407.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-07-09,159.14,0.0,0.0,435.4,0.0,872.71,0.0,0.0,0.0,895.45,0.0,1718.22,0.0
1960-07-10,129.07,0.0,778.37,235.41,966.48,0.0,0.0,0.0,0.0,0.0,1278.57,0.0,1577.23
1960-07-11,78.06,0.0,1647.54,498.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-07-12,140.1,0.0,0.0,383.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1512.62,0.0
1960-07-13,42.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-07-14,60.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-07-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-07-16,66.27,0.0,1398.86,0.0,0.0,848.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-07-17,30.15,0.0,0.0,192.47,790.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-07-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-07-19,128.66,0.0,1629.44,492.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-07-20,49.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,970.85,0.0,0.0,0.0
1960-07-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-07-22,44.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-07-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-07-24,52.27,0.0,1323.92,533.88,547.96,267.53,0.0,0.0,0.0,0.0,0.0,526.72,0.0
1960-07-25,78.06,0.0,1647.54,498.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-07-26,0.0,0.0,0.0,415.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-07-27,71.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-07-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-07-29,183.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-07-30,141.07,0.0,1786.49,540.32,0.0,1083.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-07-31,84.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
