Date,GPR_AI,military_conflict,diplomatic_tension,terrorism,civil_war,nuclear_threat,coup,sanctions,other
1980-07-01,102.3,14.5577,47.2008,10.4623,10.187,3.4071,6.9175,1.6175,7.95
1980-08-01,109.81,15.7516,47.1044,13.21,9.665,9.2303,4.9161,1.739,8.1935
1980-09-01,134.04,41.0312,47.4225,13.4887,4.2726,9.428,7.0269,1.2359,10.1342
1980-10-01,137.24,56.1324,43.2232,14.0496,4.6612,7.2727,2.1157,1.3884,8.3967
1980-11-01,107.14,28.6935,48.7329,7.4366,6.6798,3.4222,2.1718,1.6453,8.358
1980-12-01,132.1,37.3956,60.0975,9.903,8.759,3.5751,2.8601,1.8591,7.6507
1981-01-01,107.46,19.2834,54.912,14.3865,7.4297,2.6342,0.5403,2.4315,5.8424
1981-02-01,108.61,20.9542,50.6273,10.9794,11.697,3.8033,3.3369,1.6505,5.5615
1981-03-01,104.68,24.9675,42.4865,13.9638,8.3976,4.054,3.5714,1.7053,5.534
1981-04-01,110.28,29.8548,44.9853,9.4777,8.7669,3.6218,2.7079,4.5019,6.3636
1981-05-01,115.52,27.2733,42.5737,20.5855,9.7871,6.1006,2.3489,0.8808,5.9701
1981-06-01,118.82,33.1245,48.8751,9.0497,6.4246,8.3934,6.3555,0.5872,6.0101
1981-07-01,104.81,29.2344,42.9625,8.8557,10.0649,4.8724,1.2448,0.9247,6.6507
1981-08-01,113.29,25.2822,47.0401,8.3061,10.2585,10.2585,4.3681,0.364,7.4126
1981-09-01,114.4,16.4254,58.9684,15.1332,8.3317,7.4476,1.4283,0.7822,5.8832
1981-10-01,114.87,12.5159,50.235,21.5801,6.8245,12.9639,2.5822,0.8432,7.3251
1981-11-01,108.24,14.8477,54.106,9.1715,7.3819,15.0994,1.5099,0.727,5.3966
1981-12-01,142.09,14.5079,67.3015,15.2484,13.8497,6.6369,7.9807,9.16,7.4048
1982-01-01,110.47,10.9512,52.8546,13.2935,8.3655,3.2854,5.5973,10.8903,5.2322
1982-02-01,110.46,18.3991,50.9891,10.2109,11.7767,3.9147,1.9574,6.0026,7.2096
1982-03-01,117.66,22.753,45.7852,8.3486,14.5513,12.6993,5.1444,3.0572,5.3208
1982-04-01,156.56,66.2833,44.3396,7.8069,7.3548,19.8036,2.0497,2.6224,6.2998
1982-05-01,153.07,85.4279,34.4704,7.6224,6.5214,11.0667,0.6493,2.202,5.1099
1982-06-01,179.45,108.7044,35.5694,7.38,3.6598,11.6145,2.2382,4.8999,5.3838
1982-07-01,138.43,66.8293,39.5903,8.7878,4.0164,6.3417,1.8723,5.0734,5.9189
